Unique Id; Longitude; Latitude
425;20.954878;32.710145
426;20.954487;32.709926
427;20.954487;32.709926
428;20.954486;32.709926
429;20.953969;32.709636
430;20.953968;32.709635
431;20.953968;32.709635
432;20.953489;32.709367
433;20.953488;32.709366
434;20.953488;32.709366
435;20.953098;32.709148
436;20.953098;32.709148
437;20.953097;32.709147
438;20.952682;32.708914
439;20.952681;32.708914
440;20.952681;32.708914
441;20.952276;32.708687
442;20.952276;32.708687
443;20.952276;32.708687
444;20.951899;32.708476
445;20.951899;32.708476
446;20.951899;32.708476
447;20.951426;32.708211
448;20.951425;32.70821
449;20.951425;32.70821
450;20.95089;32.70791
451;20.95089;32.70791
452;20.950889;32.70791
453;20.950467;32.707673
454;20.950467;32.707673
455;20.950466;32.707673
456;20.950124;32.707481
457;20.950124;32.707481
458;20.950124;32.707481
459;20.949667;32.707225
460;20.949667;32.707225
461;20.949666;32.707225
462;20.949318;32.707029
463;20.949317;32.707029
464;20.949317;32.707029
465;20.948859;32.706772
466;20.948858;32.706772
467;20.948858;32.706772
468;20.948466;32.706552
469;20.948466;32.706552
470;20.948466;32.706552
471;20.948095;32.706344
472;20.948095;32.706344
473;20.948094;32.706344
474;20.947689;32.706117
475;20.947688;32.706116
476;20.947688;32.706116
477;20.947259;32.705876
478;20.947258;32.705875
479;20.947258;32.705875
480;20.946863;32.705654
481;20.946863;32.705654
482;20.946862;32.705653
483;20.946505;32.705453
484;20.946505;32.705453
485;20.960297;32.711314
486;20.959765;32.711011
487;20.959764;32.711011
488;20.959764;32.711011
489;20.959352;32.710776
490;20.959352;32.710776
491;20.959352;32.710776
492;20.958868;32.7105
493;20.958868;32.7105
494;20.958867;32.7105
495;20.958443;32.710258
496;20.958442;32.710258
497;20.958442;32.710258
498;20.957976;32.709992
499;20.957976;32.709992
500;20.957975;32.709992
501;20.95754;32.709744
502;20.957539;32.709743
503;20.957539;32.709743
504;20.957088;32.709486
505;20.957088;32.709486
506;20.957087;32.709486
507;20.956696;32.709263
508;20.956696;32.709263
509;20.956695;32.709263
510;20.956347;32.709064
511;20.956347;32.709064
512;20.956346;32.709064
513;20.955925;32.708824
514;20.955924;32.708823
515;20.955924;32.708823
516;20.95553;32.708599
517;20.955529;32.708598
518;20.955529;32.708598
519;20.955009;32.708302
520;20.955008;32.708302
521;20.955008;32.708301
522;20.954534;32.708032
523;20.954534;32.708031
524;20.954534;32.708031
525;20.954139;32.707807
526;20.954139;32.707807
527;20.954139;32.707806
528;20.953732;32.707575
529;20.953731;32.707574
530;20.953731;32.707574
531;20.953328;32.707344
532;20.953327;32.707344
533;20.953327;32.707344
534;20.952955;32.707132
535;20.952954;32.707132
536;20.952954;32.707131
537;20.952469;32.706855
538;20.952468;32.706855
539;20.952468;32.706855
540;20.951936;32.706552
541;20.951936;32.706551
542;20.951935;32.706551
543;20.951513;32.706311
544;20.951513;32.706311
545;20.951513;32.70631
546;20.951171;32.706116
547;20.95117;32.706115
548;20.95117;32.706115
549;20.950714;32.705855
550;20.950714;32.705855
551;20.950713;32.705855
552;20.950369;32.705659
553;20.950368;32.705659
554;20.950368;32.705658
555;20.949919;32.705402
556;20.949918;32.705402
557;20.949918;32.705402
558;20.94952;32.705175
559;20.949519;32.705175
560;20.949519;32.705175
561;20.949139;32.704958
562;20.949139;32.704958
563;20.949139;32.704958
564;20.948749;32.704736
565;20.948748;32.704736
566;20.948748;32.704735
567;20.948314;32.704488
568;20.948314;32.704488
569;20.948313;32.704488
570;20.947904;32.704255
571;20.961438;32.709935
572;20.960871;32.709611
573;20.960871;32.709611
574;20.96087;32.709611
575;20.960479;32.709387
576;20.960478;32.709387
577;20.960478;32.709387
578;20.959981;32.709104
579;20.959981;32.709103
580;20.95998;32.709103
581;20.959559;32.708863
